employee_count_log,funding_stage_ord,num_regulatory_flags,flag_crypto,flag_cross_border_payments,flag_high_risk_corridors,flag_correspondent_banking,flag_neobank,flag_lending,has_recent_signal,employee_count,funding_stage,converted
5.8971538676367405,4,1,0,0,1,0,0,0,0,363,series c,0
6.511745329644728,3,1,0,0,0,0,0,1,0,672,series b,0
4.61512051684126,0,2,0,0,0,0,1,1,0,100,unknown,0
4.836281906951478,6,1,0,0,0,1,0,0,0,125,public,0
3.9889840465642745,0,1,0,0,0,0,0,1,0,53,unknown,0
6.320768294250582,2,2,0,0,0,0,1,1,0,555,series a,0
5.0689042022202315,4,1,0,0,0,1,0,0,0,158,series c,0
4.31748811353631,4,1,0,1,0,0,0,0,0,74,series c,1
5.030437921392435,0,1,0,0,0,0,1,0,0,152,unknown,0
5.3981627015177525,0,2,0,1,1,0,0,0,0,220,unknown,0
6.459904454377535,5,1,0,1,0,0,0,0,0,638,late-stage,0
5.594711379601839,3,1,0,0,0,0,0,1,0,268,series b,0
6.586171654854675,4,2,1,1,0,0,0,0,0,724,series c,0
4.189654742026425,1,1,0,1,0,0,0,0,0,65,seed,0
4.962844630259907,5,3,1,0,1,0,1,0,0,142,late-stage,1
5.66988092298052,3,3,1,1,1,0,0,0,0,289,series b,1
6.0014148779611505,4,1,0,0,0,1,0,0,0,403,series c,0
5.3471075307174685,3,1,0,0,0,0,0,1,0,209,series b,0
3.7376696182833684,0,2,0,1,0,0,0,1,0,41,unknown,0
5.497168225293202,0,4,1,1,0,1,0,1,0,243,unknown,1
4.3694478524670215,6,2,0,0,1,1,0,0,0,78,public,1
7.239214973779806,5,2,0,0,1,0,0,1,0,1392,late-stage,0
7.940227765145702,1,2,0,0,0,1,1,0,0,2807,seed,0
4.127134385045092,6,0,0,0,0,0,0,0,0,61,public,0
3.828641396489095,6,3,0,1,1,0,1,0,0,45,public,0
6.066108090103747,5,5,0,1,1,1,1,1,1,430,late-stage,1
5.703782474656201,5,2,0,0,0,1,1,0,0,299,late-stage,1
4.51085950651685,2,2,0,0,1,0,1,0,1,90,series a,0
4.060443010546419,2,1,0,0,0,1,0,0,0,57,series a,0
5.730099782973575,5,1,0,1,0,0,0,0,0,307,late-stage,0
4.143134726391533,1,0,0,0,0,0,0,0,0,62,seed,0
5.58724865840025,2,1,0,0,0,0,0,1,0,266,series a,0
6.450470422144176,3,1,1,0,0,0,0,0,0,632,series b,1
5.908082938168931,6,0,0,0,0,0,0,0,0,367,public,0
6.269096283706261,5,1,1,0,0,0,0,0,0,527,late-stage,1
5.308267697401205,0,2,1,1,0,0,0,0,0,201,unknown,0
6.598509028614515,0,1,0,0,0,1,0,0,0,733,unknown,0
5.641907070938114,2,0,0,0,0,0,0,0,0,281,series a,0
2.5649493574615367,0,1,0,0,1,0,0,0,1,12,unknown,1
4.584967478670572,6,4,1,1,0,0,1,1,1,97,public,1
3.58351893845611,2,2,1,0,0,0,0,1,0,35,series a,1
4.418840607796598,5,2,1,1,0,0,0,0,1,82,late-stage,1
5.332718793265369,3,2,1,1,0,0,0,0,0,206,series b,1
7.217443431696533,4,1,0,0,0,0,0,1,0,1362,series c,0
8.200288260287554,6,0,0,0,0,0,0,0,0,3641,public,0
4.060443010546419,0,2,1,1,0,0,0,0,0,57,unknown,1
6.306275286948016,1,0,0,0,0,0,0,0,0,547,seed,0
5.2832037287379885,5,2,0,0,0,0,1,1,0,196,late-stage,1
6.091309882077698,3,1,0,0,1,0,0,0,0,441,series b,1
1.791759469228055,1,0,0,0,0,0,0,0,0,5,seed,1
6.529418838262226,5,2,1,1,0,0,0,0,0,684,late-stage,1
4.927253685157205,3,2,1,0,0,0,1,0,1,137,series b,1
4.804021044733257,6,1,0,1,0,0,0,0,0,121,public,1
4.189654742026425,4,0,0,0,0,0,0,0,0,65,series c,0
4.1588830833596715,2,1,0,0,1,0,0,0,0,63,series a,1
5.293304824724492,2,1,0,0,0,0,1,0,0,198,series a,0
7.237059026124737,6,0,0,0,0,0,0,0,1,1389,public,0
4.418840607796598,3,0,0,0,0,0,0,0,0,82,series b,0
4.955827057601261,6,1,0,0,0,0,0,1,0,141,public,0
6.492239835020471,3,4,1,1,1,1,0,0,0,659,series b,1
6.428105272684596,2,3,1,0,1,0,0,1,0,618,series a,1
4.1588830833596715,0,0,0,0,0,0,0,0,0,63,unknown,0
6.253828811575473,4,1,0,0,0,0,0,1,0,519,series c,0
4.997212273764115,2,3,0,1,0,1,0,1,0,147,series a,1
5.081404364984463,6,0,0,0,0,0,0,0,0,160,public,0
6.520621127558696,6,2,0,1,0,0,1,0,0,678,public,0
5.2832037287379885,4,0,0,0,0,0,0,0,0,196,series c,1
4.90527477843843,3,2,0,0,0,1,0,1,1,134,series b,1
4.31748811353631,1,3,0,1,1,0,1,0,0,74,seed,1
6.342121418721152,3,3,1,1,0,1,0,0,0,567,series b,1
4.174387269895637,3,1,0,1,0,0,0,0,0,64,series b,0
6.082218910376446,1,5,1,1,1,0,1,1,1,437,seed,1
6.802394763324311,0,2,0,0,1,0,0,1,0,899,unknown,0
5.111987788356544,3,0,0,0,0,0,0,0,0,165,series b,0
6.326149473155099,4,4,1,1,0,1,1,0,0,558,series c,1
5.831882477283517,2,3,0,1,1,0,1,0,0,340,series a,1
7.837159650001675,4,2,1,0,0,0,0,1,0,2532,series c,0
3.1780538303479458,4,2,1,1,0,0,0,0,0,23,series c,1
7.173958319756794,5,1,0,0,0,0,1,0,0,1304,late-stage,0
5.905361848054571,3,3,0,0,1,0,1,1,0,366,series b,1
2.772588722239781,6,0,0,0,0,0,0,0,0,15,public,0
4.5217885770490405,5,2,0,1,0,0,1,0,0,91,late-stage,0
5.673323267171493,4,0,0,0,0,0,0,0,0,290,series c,0
5.521460917862246,2,2,1,0,0,0,1,0,0,249,series a,1
3.7612001156935624,3,2,0,1,1,0,0,0,0,42,series b,1
5.214935757608986,3,0,0,0,0,0,0,0,1,183,series b,0
4.941642422609304,2,1,0,0,0,0,0,1,0,139,series a,0
6.124683390894205,0,0,0,0,0,0,0,0,0,456,unknown,0
5.5909869805108565,1,2,1,1,0,0,0,0,0,267,seed,1
7.273092595999522,5,2,1,1,0,0,0,0,0,1440,late-stage,1
5.198497031265826,2,1,1,0,0,0,0,0,0,180,series a,1
5.777652323222656,0,1,0,0,0,0,0,1,0,322,unknown,0
3.295836866004329,5,1,0,0,1,0,0,0,0,26,late-stage,1
5.673323267171493,1,2,0,0,1,0,0,1,0,290,seed,1
